Date,Open,Close
1/2/22 19:00,58.82,59.3
1/3/22 19:00,59.73,60.29
1/4/22 19:00,60.09,60.79
1/5/22 19:00,60.465,60.47
1/6/22 19:00,60.275,60.33
1/9/22 19:00,60.55,60.43
1/10/22 19:00,60.43,60.45
1/11/22 19:00,60.53,60.54
1/12/22 19:00,60.54,60.9
1/13/22 19:00,60.94,61.39
1/17/22 19:00,61.06,60.9
1/18/22 19:00,60.66,61
1/19/22 19:00,61,60.75
1/20/22 19:00,61.08,60.45
1/23/22 19:00,59.9,59.96
1/24/22 19:00,59.36,59.82
1/25/22 19:00,59.79,59.6
1/26/22 19:00,59.88,59.65
1/27/22 19:00,59.39,60.84
1/30/22 19:00,60.3,61.01
1/31/22 19:00,60.91,60.56
2/1/22 19:00,60.62,61.18
2/2/22 19:00,60.94,61.61
2/3/22 19:00,61.49,60.96
2/6/22 19:00,61.38,61.6
2/7/22 19:00,61.83,62
2/8/22 19:00,62.17,61.04
2/9/22 19:00,60.36,61.38
2/10/22 19:00,61.77,60.29
2/13/22 19:00,60.16,60.68
2/14/22 19:00,60.955,60.91
2/15/22 19:00,60.86,60.9
2/16/22 19:00,60.55,62.12
2/17/22 19:00,62.12,62.54
2/21/22 19:00,62.43,62.28
2/22/22 19:00,62.24,61.59
2/23/22 19:00,59.97,60.51
2/24/22 19:00,60.94,62.85
2/27/22 19:00,61.65,62.24
2/28/22 19:00,62.14,61.97
3/1/22 19:00,62.23,62.43
3/2/22 19:00,62.61,62.47
3/3/22 19:00,61.46,62.57
3/6/22 19:00,62.01,61.08
3/7/22 19:00,61.45,58.66
3/8/22 19:00,59.82,58.96
3/9/22 19:00,58.48,57.88
3/10/22 19:00,57.96,57.92
3/13/22 20:00,57.97,58.54
3/14/22 20:00,59.08,59.62
3/15/22 20:00,59.78,59.46
3/16/22 20:00,59.46,60.09
3/17/22 20:00,60.3,60.1
3/20/22 20:00,60.5,60.58
3/21/22 20:00,60.93,60.8
3/22/22 20:00,60.75,60.4
3/23/22 20:00,60.64,60.98
3/24/22 20:00,61.12,61.53
3/27/22 20:00,61.53,61.92
3/28/22 20:00,62.21,62.16
3/29/22 20:00,62.01,62.21
3/30/22 20:00,62.22,62
3/31/22 20:00,62.33,62.87
4/3/22 20:00,62.6,62.54
4/4/22 20:00,62.4,62.47
4/5/22 20:00,62.77,63.1
4/6/22 20:00,63.13,63.44
4/7/22 20:00,63.48,63.83
4/10/22 20:00,63.905,63.81
4/11/22 20:00,64.38,64.56
4/12/22 20:00,64.44,64.73
4/13/22 20:00,64.96,65.02
4/17/22 20:00,64.77,64.44
4/18/22 20:00,64.5,65.07
4/19/22 20:00,65.44,65.96
4/20/22 20:00,65.98,66.21
4/21/22 20:00,66.08,65.25
4/24/22 20:00,67,65.94
4/25/22 20:00,65.52,65.05
4/26/22 20:00,65,65.56
4/27/22 20:00,64.66,66.19
4/28/22 20:00,65.87,64.61
5/1/22 20:00,65.28,63.44
5/2/22 20:00,63.72,63.08
5/3/22 20:00,63,65.03
5/4/22 20:00,64.69,64.51
5/5/22 20:00,64.2,64.74
5/8/22 20:00,64.47,64.61
5/9/22 20:00,64.5,64.01
5/10/22 20:00,64.33,64.31
5/11/22 20:00,64.16,64.51
5/12/22 20:00,64.81,65.72
5/15/22 20:00,65.44,65.96
5/16/22 20:00,66.1,65.78
5/17/22 20:00,65.42,61.2
5/18/22 20:00,60.96,60
5/19/22 20:00,60.49,60.98
5/22/22 20:00,61.65,62.86
5/23/22 20:00,62.88,64.02
5/24/22 20:00,64,64.07
5/25/22 20:00,64.07,64.3
5/26/22 20:00,64.26,64.68
5/30/22 20:00,64.08,63.38
5/31/22 20:00,63.42,63.07
6/1/22 20:00,63.18,63.73
6/2/22 20:00,63.57,62.97
6/5/22 20:00,63.33,62.87
6/6/22 20:00,62.38,63.25
6/7/22 20:00,62.99,62.89
6/8/22 20:00,62.87,61.8
6/9/22 20:00,61.01,61.41
6/12/22 20:00,60.75,61.34
6/13/22 20:00,60.73,59.23
6/14/22 20:00,60,59.67
6/15/22 20:00,58.64,59.07
6/16/22 20:00,59.7,59.43
6/20/22 20:00,59.49,60.7
6/21/22 20:00,60.6,61.15
6/22/22 20:00,61.3,61.88
6/23/22 20:00,62.11,63.04
6/26/22 20:00,62.98,62.91
6/27/22 20:00,63.08,62.28
6/28/22 20:00,62.54,62.73
6/29/22 20:00,62.32,62.91
6/30/22 20:00,63.12,64.38
7/4/22 20:00,64.18,63.28
7/5/22 20:00,63.6,63.41
7/6/22 20:00,63.26,62.91
7/7/22 20:00,63.03,63.14
7/10/22 20:00,62.99,62.94
7/11/22 20:00,63,62.67
7/12/22 20:00,62.33,62.38
7/13/22 20:00,61.33,62.18
7/14/22 20:00,62.75,62.5
7/17/22 20:00,62.52,61.65
7/18/22 20:00,62.09,62.53
7/19/22 20:00,62.4,61.5
7/20/22 20:00,61.26,61.36
7/21/22 20:00,61.38,61.59
7/24/22 20:00,61.55,62.19
