Date,Open,Close
1/2/22 19:00,51.65,53.21
1/3/22 19:00,53.57,53.14
1/4/22 19:00,54.188,53.87
1/5/22 19:00,54.61,54.01
1/6/22 19:00,54.19,53.44
1/9/22 19:00,53.97,55.21
1/10/22 19:00,55.5,55.91
1/11/22 19:00,56.1363,55.74
1/12/22 19:00,56,54.94
1/13/22 19:00,54.85,55.7
1/17/22 19:00,55.31,54.76
1/18/22 19:00,54.63,53.62
1/19/22 19:00,53.86,52.04
1/20/22 19:00,52.08,52.04
1/23/22 19:00,51.48,51.94
1/24/22 19:00,51.01,51
1/25/22 19:00,51.13,51.69
1/26/22 19:00,49.98,48.05
1/27/22 19:00,47.71,47.73
1/30/22 19:00,47.68,48.82
1/31/22 19:00,48.775,48.95
2/1/22 19:00,48.245,49.51
2/2/22 19:00,49.25,48.28
2/3/22 19:00,47.86,48.01
2/6/22 19:00,48.13,48.18
2/7/22 19:00,47.98,48.81
2/8/22 19:00,49.33,49.91
2/9/22 19:00,49.18,48.86
2/10/22 19:00,48.95,47.63
2/13/22 19:00,47.92,47.58
2/14/22 19:00,47.7,48.44
2/15/22 19:00,48.06,48.23
2/16/22 19:00,47.86,47.57
2/17/22 19:00,46.19,45.04
2/21/22 19:00,44.69,44.69
2/22/22 19:00,45.17,44.65
2/23/22 19:00,43.9,46.72
2/24/22 19:00,46.93,47.71
2/27/22 19:00,47,47.7
2/28/22 19:00,47.54,46.82
3/1/22 19:00,47.52,48.87
3/2/22 19:00,48.18,47.93
3/3/22 19:00,47.37,48.07
3/6/22 19:00,48.005,47.68
3/7/22 19:00,47.69,47.5
3/8/22 19:00,48.41,47.63
3/9/22 19:00,47.29,46.66
3/10/22 19:00,47.15,45.83
3/13/22 20:00,45.9,44.4
3/14/22 20:00,44.5,44.81
3/15/22 20:00,45.3,46.63
3/16/22 20:00,46.32,47.14
3/17/22 20:00,46.82,47.45
3/20/22 20:00,47.46,47.39
3/21/22 20:00,47.5,48.39
3/22/22 20:00,48.46,48.27
3/23/22 20:00,48.66,51.62
3/24/22 20:00,50.69,51.83
3/27/22 20:00,51.36,51.51
3/28/22 20:00,52,52.25
3/29/22 20:00,52.25,51.43
3/30/22 20:00,51.2,49.56
3/31/22 20:00,49.83,48.11
4/3/22 20:00,48.17,49.2
4/4/22 20:00,48.83,48.13
4/5/22 20:00,47.44,47.54
4/6/22 20:00,47.425,47.56
4/7/22 20:00,47.28,47.02
4/10/22 20:00,46.9,46.57
4/11/22 20:00,47.32,46.5
4/12/22 20:00,46.75,47.01
4/13/22 20:00,46.745,45.67
4/17/22 20:00,45.53,46.64
4/18/22 20:00,46.6,47.93
4/19/22 20:00,48.36,48.11
4/20/22 20:00,48.62,47.5
4/21/22 20:00,47.45,46.54
4/24/22 20:00,46.21,47.06
4/25/22 20:00,46.69,45.52
4/26/22 20:00,45.48,45.22
4/27/22 20:00,45.785,46.84
4/28/22 20:00,44.99,43.59
5/1/22 20:00,43.72,44.96
5/2/22 20:00,44.79,45.06
5/3/22 20:00,45.06,46.54
5/4/22 20:00,45.6,44.6
5/5/22 20:00,44.49,44.3
5/8/22 20:00,43.81,43.07
5/9/22 20:00,44.35,44.01
5/10/22 20:00,44.02,42.83
5/11/22 20:00,42.73,42.84
5/12/22 20:00,43.42,43.6
5/15/22 20:00,43.42,43.08
5/16/22 20:00,43.82,44.4
5/17/22 20:00,43.98,42.35
5/18/22 20:00,42.32,42.01
5/19/22 20:00,42.245,41.65
5/22/22 20:00,41.69,42
5/23/22 20:00,41.698,41.67
