Date,Open,Close
1/2/22 19:00,76.58,76.87
1/3/22 19:00,76.4,77.01
1/4/22 19:00,77.26,78.88
1/5/22 19:00,78.79,78.83
1/6/22 19:00,78.86,80.3
1/9/22 19:00,80.54,82.37
1/10/22 19:00,82.42,81.67
1/11/22 19:00,81.08,81.2
1/12/22 19:00,80.93,81.32
1/13/22 19:00,81.6,81.38
1/17/22 19:00,81.1,81.54
1/18/22 19:00,80.98,81.29
1/19/22 19:00,80.73,80.75
1/20/22 19:00,81.27,79.98
1/23/22 19:00,79.77,78.83
1/24/22 19:00,78.42,79.46
1/25/22 19:00,79.39,79.14
1/26/22 19:00,78.42,80.58
1/27/22 19:00,79.54,80.9
1/30/22 19:00,81.02,81.48
1/31/22 19:00,81.96,81.92
2/1/22 19:00,81.795,82.01
2/2/22 19:00,81.65,79.01
2/3/22 19:00,78.51,78.56
2/6/22 19:00,78.79,77.58
2/7/22 19:00,77.1,76.91
2/8/22 19:00,77.17,76.53
2/9/22 19:00,76.36,76.56
2/10/22 19:00,76.4,76.64
2/13/22 19:00,76.63,76.47
2/14/22 19:00,77.51,77.81
2/15/22 19:00,77.2,77.22
2/16/22 19:00,76.85,76.36
2/17/22 19:00,76.32,76.37
2/21/22 19:00,76.46,75.95
2/22/22 19:00,76.19,75.84
2/23/22 19:00,75.1,73.51
2/24/22 19:00,74.2,76.32
2/27/22 19:00,75.83,76.58
2/28/22 19:00,76.5,76.34
3/1/22 19:00,76.31,76.67
3/2/22 19:00,76.77,77.15
3/3/22 19:00,76.68,77.83
3/6/22 19:00,77.01,77.73
3/7/22 19:00,77.25,76.95
3/8/22 19:00,77.62,77.79
3/9/22 19:00,77.63,77.89
3/10/22 19:00,78.32,78.26
3/13/22 20:00,77.9,77.78
3/14/22 20:00,77.68,78.64
3/15/22 20:00,78.96,78.12
3/16/22 20:00,78.15,78.94
3/17/22 20:00,79.18,79.11
3/20/22 20:00,79.67,79.06
3/21/22 20:00,79.27,79.3
3/22/22 20:00,79.3,79.73
3/23/22 20:00,80.04,80.41
3/24/22 20:00,80.59,81.34
3/27/22 20:00,81.37,81.21
3/28/22 20:00,81.66,81.57
3/29/22 20:00,81.84,82.4
3/30/22 20:00,82.9,82.05
3/31/22 20:00,82.19,83.52
4/3/22 20:00,83.5,83.49
4/4/22 20:00,83.66,83.72
4/5/22 20:00,84.36,84.97
4/6/22 20:00,85.75,86.8
4/7/22 20:00,86.64,87.68
4/10/22 20:00,88.32,86.63
4/11/22 20:00,86,85.63
4/12/22 20:00,85.8,86.13
4/13/22 20:00,86.13,86.91
4/17/22 20:00,86.42,86.07
4/18/22 20:00,85.97,85.79
4/19/22 20:00,85.52,86.46
4/20/22 20:00,86.41,86.23
4/21/22 20:00,85.86,84.59
4/24/22 20:00,84.59,85.44
4/25/22 20:00,85.76,84.48
4/26/22 20:00,84.3,84.41
4/27/22 20:00,85.75,88.58
4/28/22 20:00,88.66,88.69
5/1/22 20:00,88.72,87.65
5/2/22 20:00,86.99,87.1
5/3/22 20:00,86.57,88.52
5/4/22 20:00,88.42,88.01
5/5/22 20:00,87.74,88.39
5/8/22 20:00,87.5,87.64
5/9/22 20:00,88.12,87.81
5/10/22 20:00,87.42,89.19
5/11/22 20:00,89.85,90.83
