Date,Open,Close
1/2/22 19:00,52.07,52.44
1/3/22 19:00,52.64,53.47
1/4/22 19:00,53.84,54.02
1/5/22 19:00,54.48,53.76
1/6/22 19:00,53.26,54.24
1/9/22 19:00,54.49,53.87
1/10/22 19:00,53.92,53.59
1/11/22 19:00,53.39,53.45
1/12/22 19:00,53.515,53.52
1/13/22 19:00,53.59,53.28
1/17/22 19:00,53.1,53.43
1/18/22 19:00,53.47,53.5
1/19/22 19:00,53.49,53.4
1/20/22 19:00,53.73,53.16
1/23/22 19:00,53.11,52.96
1/24/22 19:00,53.13,52.9
1/25/22 19:00,52.62,51.02
1/26/22 19:00,50.91,51.19
1/27/22 19:00,51.44,52.9
1/30/22 19:00,52.52,53.23
1/31/22 19:00,53.4,53.2
2/1/22 19:00,53.56,53.8
2/2/22 19:00,54,53.79
2/3/22 19:00,53.52,53.31
2/6/22 19:00,53.23,53
2/7/22 19:00,53.01,52.82
2/8/22 19:00,53.15,53.5
2/9/22 19:00,53.34,53.04
2/10/22 19:00,52.95,53.32
2/13/22 19:00,53.25,53.27
2/14/22 19:00,53.3,53.36
2/15/22 19:00,53.19,53.4
2/16/22 19:00,53.1,53.58
2/17/22 19:00,53.56,53.83
2/21/22 19:00,54,53.9
2/22/22 19:00,53.9,53.41
2/23/22 19:00,52.97,52.59
2/24/22 19:00,53.08,54.12
2/27/22 19:00,53.8,53.67
2/28/22 19:00,53.5,53.61
3/1/22 19:00,53.67,54.14
3/2/22 19:00,54.38,54.66
3/3/22 19:00,54.43,55.11
3/6/22 19:00,54.75,54.68
3/7/22 19:00,54.96,53.25
3/8/22 19:00,53.7199,53.08
3/9/22 19:00,53,53.23
3/10/22 19:00,53.36,53.04
3/13/22 20:00,53.43,52.5
3/14/22 20:00,52.69,52.76
3/15/22 20:00,52.87,52.49
3/16/22 20:00,52.48,52.36
3/17/22 20:00,52.12,50.8
3/20/22 20:00,51.37,51.1
3/21/22 20:00,51.19,51
3/22/22 20:00,51.05,50.97
3/23/22 20:00,51.04,51
3/24/22 20:00,51.06,51.28
3/27/22 20:00,51.36,51.17
3/28/22 20:00,51.32,51.25
3/29/22 20:00,51.22,51.61
3/30/22 20:00,51.66,50.94
3/31/22 20:00,51.02,52.12
4/3/22 20:00,52.02,52.46
4/4/22 20:00,52.2,52.78
4/5/22 20:00,52.81,53.2
4/6/22 20:00,52.45,52.67
4/7/22 20:00,52.73,53.53
4/10/22 20:00,53.87,53.9
4/11/22 20:00,53.87,53.67
4/12/22 20:00,53.59,54.14
4/13/22 20:00,54,53.83
4/17/22 20:00,53.76,53.39
4/18/22 20:00,53.58,53.75
4/19/22 20:00,53.76,54.41
4/20/22 20:00,54.61,55.01
4/21/22 20:00,53.44,51.91
4/24/22 20:00,51.34,50.28
4/25/22 20:00,50.26,49.41
4/26/22 20:00,49.51,48.46
4/27/22 20:00,48.69,48.4
4/28/22 20:00,48.16,46.3
5/1/22 20:00,46.51,46.23
5/2/22 20:00,46.39,47.17
5/3/22 20:00,47.24,48.37
5/4/22 20:00,48.03,47.84
5/5/22 20:00,47.6,48.27
5/8/22 20:00,48.13,48.62
5/9/22 20:00,48.9,48.13
5/10/22 20:00,48.18,47.88
5/11/22 20:00,47.81,48.06
5/12/22 20:00,48.25,48.18
5/15/22 20:00,47.98,49.04
5/16/22 20:00,48.95,48.94
5/17/22 20:00,48.95,48.89
5/18/22 20:00,48.46,49.1
5/19/22 20:00,49.04,49.53
5/22/22 20:00,49.79,49.67
5/23/22 20:00,49.69,50.68
5/24/22 20:00,50.5,51.24
5/25/22 20:00,51.31,50.99
5/26/22 20:00,50.75,51.4
5/30/22 20:00,51.26,51.29
5/31/22 20:00,51.44,51.4
6/1/22 20:00,51.55,51.29
6/2/22 20:00,50.94,50.81
6/5/22 20:00,50.93,51.24
6/6/22 20:00,51.15,51.65
6/7/22 20:00,51.73,51.55
6/8/22 20:00,51.62,50.94
6/9/22 20:00,50.65,50.82
6/12/22 20:00,50.62,49.59
6/13/22 20:00,49.59,49.16
6/14/22 20:00,49.23,49.15
6/15/22 20:00,48.52,48.84
6/16/22 20:00,48.61,49.03
6/20/22 20:00,49.31,50.65
6/21/22 20:00,50.26,50.79
6/22/22 20:00,51.03,52.09
6/23/22 20:00,52.03,50.96
6/26/22 20:00,51.29,50.96
6/27/22 20:00,51.07,50.46
6/28/22 20:00,50.48,50.94
6/29/22 20:00,50.67,50.75
6/30/22 20:00,50.96,51.64
7/4/22 20:00,51.42,51.42
7/5/22 20:00,51.42,51.51
7/6/22 20:00,50.96,50.71
7/7/22 20:00,50.52,50.49
7/10/22 20:00,50.37,50.5
7/11/22 20:00,50.65,50.78
7/12/22 20:00,50.44,50.51
7/13/22 20:00,49.92,50.49
7/14/22 20:00,51,51.02
7/17/22 20:00,51.06,50.28
7/18/22 20:00,50.48,50.45
7/19/22 20:00,50.47,49.07
7/20/22 20:00,47.63,47.66
7/21/22 20:00,45.95,44.45
7/24/22 20:00,44.38,44.76
7/25/22 20:00,44.5,44.92
7/26/22 20:00,44.81,44.91
7/27/22 20:00,44.84,45.55
7/28/22 20:00,45.71,46.19
7/31/22 20:00,46.29,46.26
8/1/22 20:00,46.25,45.34
8/2/22 20:00,45.46,45.33
8/3/22 20:00,45.22,44.43
8/4/22 20:00,44.48,44.95
8/7/22 20:00,44.95,44.54
8/8/22 20:00,44.61,44.68
8/9/22 20:00,45.01,44.84
8/10/22 20:00,44.96,44.78
8/11/22 20:00,44.95,45.15
8/14/22 20:00,45.03,45.56
8/15/22 20:00,45.5,45.8
8/16/22 20:00,45.43,45.34
8/17/22 20:00,44.42,44.19
8/18/22 20:00,44.1,44.42
8/21/22 20:00,44.4,44.17
8/22/22 20:00,44,43.47
8/23/22 20:00,43.55,43.55
8/24/22 20:00,43.65,43.74
8/25/22 20:00,43.59,43.25
8/28/22 20:00,43.015,43.33
8/29/22 20:00,43.38,42.53
8/30/22 20:00,42.47,41.81
8/31/22 20:00,41.64,41.81
9/1/22 20:00,42,41.3
9/5/22 20:00,41.35,41.1
9/6/22 20:00,41.14,41.08
9/7/22 20:00,41,41.32
9/8/22 20:00,41.68,42.24
9/11/22 20:00,42.59,42.76
9/12/22 20:00,42.4,41.75
9/13/22 20:00,41.75,41.28
9/14/22 20:00,41.03,41.03
9/15/22 20:00,40.98,41.25
9/18/22 20:00,41.06,41.24
9/19/22 20:00,40.99,40.59
9/20/22 20:00,40.69,39.48
9/21/22 20:00,39.47,39.93
9/22/22 20:00,39.56,39.52
9/25/22 20:00,39.23,38.93
9/26/22 20:00,39.2,38.89
9/27/22 20:00,39.06,39.39
9/28/22 20:00,39.11,38.64
9/29/22 20:00,38.54,37.97
10/2/22 20:00,38.5,39.16
10/3/22 20:00,39.5,39.81
10/4/22 20:00,39.34,39.4
10/5/22 20:00,39.47,37.84
10/6/22 20:00,37.63,36.85
10/9/22 20:00,37.13,36.62
10/10/22 20:00,36.56,35.94
10/11/22 20:00,35.9,35.68
10/12/22 20:00,35.12,36.4
10/13/22 20:00,36.8,36.38
10/16/22 20:00,36.72,37.18
10/17/22 20:00,37.67,37.07
10/18/22 20:00,36.57,36.57
10/19/22 20:00,36.57,37
10/20/22 20:00,35.52,35.35
10/23/22 20:00,35.66,35.97
10/24/22 20:00,35.91,36.43
10/25/22 20:00,36.38,36.43
10/26/22 20:00,36.69,36.18
10/27/22 20:00,36.8,37.67
10/30/22 20:00,37.51,37.37
10/31/22 20:00,37.98,37.37
11/1/22 20:00,37.25,37.71
11/2/22 20:00,37.36,37.15
11/3/22 20:00,37.35,37.24
11/6/22 19:00,37.32,37.19
11/7/22 19:00,37.2,37.87
11/8/22 19:00,37.92,37.62
11/9/22 19:00,38.3,38.52
11/10/22 19:00,38.55,38.3
11/13/22 19:00,38.45,38.31
11/14/22 19:00,38.49,37.7
11/15/22 19:00,37.66,37.88
11/16/22 19:00,37.55,38.16
11/17/22 19:00,38.29,38.55
11/20/22 19:00,38.6,38.62
11/21/22 19:00,38.84,39.2
11/22/22 19:00,39.03,38.92
11/24/22 19:00,39.1,39.02
11/27/22 19:00,39.01,38.24
11/28/22 19:00,38.02,38.34
11/29/22 19:00,38.21,38.98
11/30/22 19:00,39.18,38.33
12/1/22 19:00,37.93,38.18
12/4/22 19:00,37.98,37.07
12/5/22 19:00,36.99,36.89
12/6/22 19:00,36.74,37.17
12/7/22 19:00,37.11,37.1
12/8/22 19:00,37.21,37.4
12/11/22 19:00,37.69,37.95
12/12/22 19:00,38.39,37.86
12/13/22 19:00,37.87,37.45
12/14/22 19:00,37.75,37.77
12/15/22 19:00,37.51,37.12
12/18/22 19:00,37.33,37.03
12/19/22 19:00,36.99,36.99
12/20/22 19:00,37.27,37.78
12/21/22 19:00,37.68,38.31
12/22/22 19:00,38.31,38.41
12/26/22 19:00,38.49,39.25
12/27/22 19:00,39.19,38.81
12/28/22 19:00,38.9,39.26
12/29/22 19:00,39.31,39.4
